Row Labels,Sum of Total Available Quantity,new style code
30085029/7,0,30085029/7
A100,28,A100
A1000,14,A1000
A1001,11,A1001
A1002,18,A1002
A1003,19,A1003
A1004,19,A1004
A1005,3,A1005
A1007,43,A1007
A1008,12,A1008
A1028,0,A1028
A1030,10,A1030
A1031,0,A1031
A1032,0,A1032
A1033,0,A1033
A1034,0,A1034
A1035,0,A1035
A1038,10,A1038
A1039,0,A1039
A104,27,A104
A1040,27,A1040
A1042,21,A1042
A1043,21,A1043
A1044,27,A1044
A1045,15,A1045
A1046,1,A1046
A1048,19,A1048
A1050,19,A1050
A1051,9,A1051
A1054,8,A1054
A1055,10,A1055
A1058,32,A1058
A1059,7,A1059
A1062,4,A1062
A1063,0,A1063
A1064,15,A1064
A1065,25,A1065
A1066,2,A1066
A1067,13,A1067
A1068,16,A1068
A107,17,A107
A1070,16,A1070
A1071,7,A1071
A1072,6,A1072
A1073,4,A1073
A1074,6,A1074
A1075,5,A1075
A1076,2,A1076
A1077,28,A1077
A1080,0,A1080
A1082,5,A1082
A1084,13,A1084
A1110,5,A1110
A1111,4,A1111
A1112,5,A1112
A1113,6,A1113
A1128,5,A1128
A1129,9,A1129
A1130,9,A1130
A1131,10,A1131
A1134,6,A1134
A1135,10,A1135
A1136,2,A1136
A1137,10,A1137
A1138,6,A1138
A1139,15,A1139
A1140,8,A1140
A1143,7,A1143
A1144,9,A1144
A1145,0,A1145
A1146,10,A1146
A1147,0,A1147
A1148,16,A1148
A1149,9,A1149
A115,4,A115
A1150,16,A1150
A1151,14,A1151
A1152,10,A1152
A1154,18,A1154
A1155,14,A1155
A1156,9,A1156
A1159,10,A1159
A116,10,A116
A1160,9,A1160
A1161,9,A1161
A1162,10,A1162
A1165,9,A1165
A1167,0,A1167
A1168,0,A1168
A1169,0,A1169
A1170,28,A1170
A1171,23,A1171
A1172,0,A1172
A1177,9,A1177
A1178,10,A1178
A1179,12,A1179
A1180,8,A1180
A1181,9,A1181
A1182,9,A1182
A1185,10,A1185
A1187,8,A1187
A1195,10,A1195
A1196,0,A1196
A1198,0,A1198
A1199,3,A1199
A120,0,A120
A1200,0,A1200
A1204,0,A1204
A1205,0,A1205
A1207,2,A1207
A1208,3,A1208
A1212,3,A1212
A1213,4,A1213
A1214,7,A1214
A1215,6,A1215
A1216,5,A1216
A1217,7,A1217
A1218,9,A1218
A1219,6,A1219
A1220,1,A1220
A1221,2,A1221
A1222,8,A1222
A1223,19,A1223
A1224,13,A1224
A1225,20,A1225
A1227,9,A1227
A1228,6,A1228
A1229,10,A1229
A1230,12,A1230
A1232,8,A1232
A1253,10,A1253
A1255,10,A1255
A1258,5,A1258
A1259,10,A1259
A1261,6,A1261
A1262,8,A1262
A1264,20,A1264
A1266,10,A1266
A1267,10,A1267
A1271,0,A1271
A1273,10,A1273
A1274,9,A1274
A129,0,A129
A1290,1,A1290
A1291,9,A1291
A1292,7,A1292
A1293,10,A1293
A1294,9,A1294
A1296,10,A1296
A130,40,A130
A1313,10,A1313
A1315,10,A1315
A1321,12,A1321
A1322,0,A1322
A1328,9,A1328
A133,13,A133
A1335,9,A1335
A1336,9,A1336
A1337,8,A1337
A1338,9,A1338
A1364,5,A1364
A1368,9,A1368
A1369,7,A1369
A137,40,A137
A1370,5,A1370
A1371,6,A1371
A1372,12,A1372
A1373,10,A1373
A1374,3,A1374
A1375,0,A1375
A1376,6,A1376
A1377,9,A1377
A1378,0,A1378
A1384,13,A1384
A1385,5,A1385
A1386,5,A1386
A1387,5,A1387
A1388,5,A1388
A1390,5,A1390
A1391,4,A1391
A1392,5,A1392
A1393,3,A1393
A1394,5,A1394
A1395,5,A1395
A1397,5,A1397
A1398,5,A1398
A1399,5,A1399
A1400,5,A1400
A1404,5,A1404
A1405,5,A1405
A1406,5,A1406
A1407,5,A1407
A1409,5,A1409
A1410,5,A1410
A1412,5,A1412
A1413,5,A1413
A1414,5,A1414
A1415,5,A1415
A1416,5,A1416
A1418,5,A1418
A1419,5,A1419
A1420,5,A1420
A144,11,A144
A153,0,A153
A154,10,A154
A155,2,A155
A158,7,A158
A159,23,A159
A163,0,A163
A164,18,A164
A165,10,A165
A166,6,A166
A167,19,A167
A174,11,A174
A175,32,A175
A176,0,A176
A178,33,A178
A179,12,A179
A180,2,A180
A181,30,A181
A183,29,A183
A184,31,A184
A191,0,A191
A192,3,A192
A193,7,A193
A194,27,A194
A195,33,A195
A197,33,A197
A198,40,A198
A199,0,A199
A200,32,A200
A201,12,A201
A202,0,A202
A209,6,A209
A212,20,A212
A216,0,A216
A217,28,A217
A218,4,A218
A219,32,A219
A222,54,A222
A223,26,A223
A224,9,A224
A226,15,A226
A227,2,A227
A230,3,A230
A231,30,A231
A232,18,A232
A233,9,A233
A234,4,A234
A235,44,A235
A236,1,A236
A237,7,A237
A238,6,A238
A239,8,A239
A240,9,A240
A241,17,A241
A242,0,A242
A243,31,A243
A245,1,A245
A248,2,A248
A250,24,A250
A251,49,A251
A252,64,A252
A254,5,A254
A264,8,A264
A265,6,A265
A266,6,A266
A267,7,A267
A268,9,A268
A269,8,A269
A270,7,A270
A271,3,A271
A272,9,A272
A273,7,A273
A274,20,A274
A276,2,A276
A278,6,A278
A279,50,A279
A280,9,A280
A281,10,A281
A282,39,A282
A283,20,A283
A284,6,A284
A285,7,A285
A286,23,A286
A287,19,A287
A288,37,A288
A289,26,A289
A290,24,A290
A291,5,A291
A292,29,A292
A294,1,A294
A295,14,A295
A296,11,A296
A297,12,A297
A298,14,A298
A299,7,A299
A300,12,A300
A301,6,A301
A302,10,A302
A303,10,A303
A309,9,A309
A311,21,A311
A312,4,A312
A315,28,A315
A316,20,A316
A318,19,A318
A325,6,A325
A327,32,A327
A328,41,A328
A330,21,A330
A331,9,A331
A335,54,A335
A336,12,A336
A338,17,A338
A339,3,A339
A352,35,A352
A361,54,A361
A362,31,A362
A364,16,A364
A365,15,A365
A366,19,A366
A367,21,A367
A368,27,A368
A369,12,A369
A371,17,A371
A372,17,A372
A373,25,A373
A374,18,A374
A375,12,A375
A376,13,A376
A377,15,A377
A378,20,A378
A379,9,A379
A388,1,A388
A390,10,A390
A391,7,A391
A392,12,A392
A394,24,A394
A396,31,A396
A397,5,A397
A400,23,A400
A401,12,A401
A402,3,A402
A404,21,A404
A407,19,A407
A408,0,A408
A409,6,A409
A410,5,A410
A411,23,A411
A412,16,A412
A415,7,A415
A416,0,A416
A417,45,A417
A419,2,A419
A420,15,A420
A422,32,A422
A424,27,A424
A425,15,A425
A427,33,A427
A428,16,A428
A429,20,A429
A430,28,A430
A431,26,A431
A432,20,A432
A433,21,A433
A434,2,A434
A436,8,A436
A437,0,A437
A444,23,A444
A445,22,A445
A446,1,A446
A447,20,A447
A449,17,A449
A450,10,A450
A451,27,A451
A452,32,A452
A453,27,A453
A455,17,A455
A46,28,A46
A470,17,A470
A471,18,A471
A473,19,A473
A474,17,A474
A478,10,A478
A496,11,A496
A499,0,A499
A507,13,A507
A508,10,A508
A522,20,A522
A524,21,A524
A526,22,A526
A527,23,A527
A529,21,A529
A54,4,A54
A546,15,A546
A547,15,A547
A549,10,A549
A550,10,A550
A551,9,A551
A559,4,A559
A572,10,A572
A573,10,A573
A574,16,A574
A578,19,A578
A586,10,A586
A605,0,A605
A620,10,A620
A621,9,A621
A624,6,A624
A633,10,A633
A64,27,A64
A68,39,A68
A682,10,A682
A684,8,A684
A70,17,A70
A71,11,A71
A718,10,A718
A726,8,A726
A728,0,A728
A729,22,A729
A730,1,A730
A731,6,A731
A732,0,A732
A733,37,A733
A734,0,A734
A735,31,A735
A737,0,A737
A738,9,A738
A739,6,A739
A741,36,A741
A743,0,A743
A744,0,A744
A745,52,A745
A751,18,A751
A754,2,A754
A761,10,A761
A795,17,A795
A802,15,A802
A803,20,A803
A81,0,A81
A810,19,A810
A816,16,A816
A819,13,A819
A821,19,A821
A824,16,A824
A83,0,A83
A831,12,A831
A836,24,A836
A837,10,A837
A844,19,A844
A845,15,A845
A848,9,A848
A849,32,A849
A85,0,A85
A852,13,A852
A855,16,A855
A856,18,A856
A858,15,A858
A86,2,A86
A860,18,A860
A862,12,A862
A864,19,A864
A865,1,A865
A87,4,A87
A875,31,A875
A876,15,A876
A877,16,A877
A883,12,A883
A884,15,A884
A885,38,A885
A890,10,A890
A891,15,A891
A895,7,A895
A897,16,A897
A898,14,A898
A902,20,A902
A904,18,A904
A918,14,A918
A93,13,A93
A94,11,A94
A96,3,A96
A98,13,A98
A994,12,A994
A995,18,A995
A996,16,A996
A998,6,A998
A999,14,A999
ABOMCS1023R-FW0009-C001,105,ABOMCS1023R-FW0009-C001
ABOMCS1023R-FW0009-C357,83,ABOMCS1023R-FW0009-C357
ABOMCS1023R-FW0017-C204,41,ABOMCS1023R-FW0017-C204
ABOMCS853R-FW0027-C232,76,ABOMCS853R-FW0027-C232
ABOMEF1034R-FK0075-C464,50,ABOMEF1034R-FK0075-C464
ABOMEF1034R-FK0076-C465,53,ABOMEF1034R-FK0076-C465
ABOMEF1036X-FK0073-C233,33,ABOMEF1036X-FK0073-C233
ABOMEF1036X-FK0074-C001,42,ABOMEF1036X-FK0074-C001
ABOMEF1044R-FK0081-C466,64,ABOMEF1044R-FK0081-C466
ABOMEF1044R-FK0082-C234,20,ABOMEF1044R-FK0082-C234
ABOMEF1047X-FK0089-C001,56,ABOMEF1047X-FK0089-C001
ABOMEF1047X-FK0090-C466,9,ABOMEF1047X-FK0090-C466
ABOMEF1049R-FK0091-C507,109,ABOMEF1049R-FK0091-C507
ABOMEF1049R-FK0092-C511,41,ABOMEF1049R-FK0092-C511
ABOMGS782R-FW0021-C117,98,ABOMGS782R-FW0021-C117
ABOMGS782R-FW0023-C001,92,ABOMGS782R-FW0023-C001
ABOMJF1057X-FW0184-C287,7,ABOMJF1057X-FW0184-C287
ABOMJF1057X-FW0185-C288,8,ABOMJF1057X-FW0185-C288
ABOWGT325AC-FW0034-C140,177,ABOWGT325AC-FW0034-C140
ABOWSF1062X-FK0033-C002,237,ABOWSF1062X-FK0033-C002
ABOWSF1062X-FK0035-C140,211,ABOWSF1062X-FK0035-C140
ABOWSF1062X-FK0038-C234,227,ABOWSF1062X-FK0038-C234
ABOWSF1062X-FK0039-C015,228,ABOWSF1062X-FK0039-C015
ABOWSF299X-FK0034-C238,230,ABOWSF299X-FK0034-C238
ABOWSF299X-FK0036-C233,223,ABOWSF299X-FK0036-C233
ABOWSF299X-FK0037-C099,233,ABOWSF299X-FK0037-C099
BKOLL03MCF02-75B,0,BKOLL03MCF02-75B
BKOLL03MCF09-133A,0,BKOLL03MCF09-133A
BKOLL03MCF09-133B,0,BKOLL03MCF09-133B
BKOLL03MCF09-133C,0,BKOLL03MCF09-133C
BKOLL03MCF15-87A,0,BKOLL03MCF15-87A
BKOLL03MCF15-87B,0,BKOLL03MCF15-87B
BOBCF155RC16L42-4832,0,BOBCF155RC16L42-4832
BOBKJ127RL43-1243A,0,BOBKJ127RL43-1243A
BOKCF36SC17L42-3022H,0,BOKCF36SC17L42-3022H
BOKCF36SC17L42-3022I,1,BOKCF36SC17L42-3022I
BOKCH02SC14L37-3249B,0,BOKCH02SC14L37-3249B
BOKCH02SC14L37-3462,0,BOKCH02SC14L37-3462
BOKCH02SC14L39-3266,0,BOKCH02SC14L39-3266
BOMAF897SL54-6265,27,BOMAF897SL54-6265
BOMAF897SL54-6400,29,BOMAF897SL54-6400
BOMAF897SL54-6442,58,BOMAF897SL54-6442
BOMAH155X-FK0023,1,BOMAH155X-FK0023
BOMBS03SL50-5008,0,BOMBS03SL50-5008
BOMBS03SL50-5010,20,BOMBS03SL50-5010
BOMBS03SL50-5013,2,BOMBS03SL50-5013
BOMBS03SL51-5007,3,BOMBS03SL51-5007
BOMBS03XL53-4688A,10,BOMBS03XL53-4688A
BOMBS03XL53-4874,2,BOMBS03XL53-4874
BOMBS03XL53-5016,24,BOMBS03XL53-5016
BOMBS03XL53-5036,3,BOMBS03XL53-5036
BOMBS03XL54-5010,46,BOMBS03XL54-5010
BOMCF02RC23L39-3249A,0,BOMCF02RC23L39-3249A
BOMCF02RC23L39-3249B,0,BOMCF02RC23L39-3249B
BOMCF02SC20L38-4510,0,BOMCF02SC20L38-4510
BOMCF09SC20L04-162A,0,BOMCF09SC20L04-162A
BOMCF09SC20L04-162B,0,BOMCF09SC20L04-162B
BOMCF09SC20L32-3022P,0,BOMCF09SC20L32-3022P
BOMCF1071R-FW0381,68,BOMCF1071R-FW0381
BOMCF1071R-FW0382,62,BOMCF1071R-FW0382
BOMCF1071R-FW0492,63,BOMCF1071R-FW0492
BOMCF1071R-FW0493,57,BOMCF1071R-FW0493
BOMCF1072R-FW0290,46,BOMCF1072R-FW0290
BOMCF1072R-FW0291,45,BOMCF1072R-FW0291
BOMCF1072R-FW0292,28,BOMCF1072R-FW0292
BOMCF1072R-FW0293,75,BOMCF1072R-FW0293
BOMCF1072R-FW0294,55,BOMCF1072R-FW0294
BOMCF1072R-FW0295,58,BOMCF1072R-FW0295
BOMCF1093R-FW0140-C249,1,BOMCF1093R-FW0140-C249
BOMCF1093R-FW0141-C269,0,BOMCF1093R-FW0141-C269
BOMCF1093R-FW0544-C206,26,BOMCF1093R-FW0544-C206
BOMCF1117X-FW0217-C339,75,BOMCF1117X-FW0217-C339
BOMCF1117X-FW0218-C076,43,BOMCF1117X-FW0218-C076
BOMCF151SL43-4872,0,BOMCF151SL43-4872
BOMCF155R-6015,2,BOMCF155R-6015
BOMCF155R-6067,22,BOMCF155R-6067
BOMCF155R-6588A,0,BOMCF155R-6588A
BOMCF155R-6588B,4,BOMCF155R-6588B
BOMCF155R-FW0137,69,BOMCF155R-FW0137
BOMCF155R-FW0180,13,BOMCF155R-FW0180
BOMCF155R-FW0213-C204,127,BOMCF155R-FW0213-C204
BOMCF155R-FW0310-C048,226,BOMCF155R-FW0310-C048
BOMCF155R-FW0311,37,BOMCF155R-FW0311
BOMCF155R-FW0312,47,BOMCF155R-FW0312
BOMCF155R-FW0327-C001,121,BOMCF155R-FW0327-C001
BOMCF155R-FW0328-C001,150,BOMCF155R-FW0328-C001
BOMCF155R-FW0333-C178,156,BOMCF155R-FW0333-C178
BOMCF155R-FW0336-C178,148,BOMCF155R-FW0336-C178
BOMCF155R-FW0337-C178,155,BOMCF155R-FW0337-C178
BOMCF155R-FW0398,62,BOMCF155R-FW0398
BOMCF155R-FW0399,26,BOMCF155R-FW0399
BOMCF155R-FW0427,114,BOMCF155R-FW0427
BOMCF155R-FW0428,137,BOMCF155R-FW0428
BOMCF155R-FW0449,136,BOMCF155R-FW0449
BOMCF155R-FW0450,134,BOMCF155R-FW0450
