Row Labels,Sum of Total Available Quantity
30085029/7,0
A100,28
A1000,14
A1001,11
A1002,18
A1003,19
A1004,19
A1005,3
A1007,43
A1008,12
A1028,0
A1030,10
A1031,0
A1032,0
A1033,0
A1034,0
A1035,0
A1038,10
A1039,0
A104,27
A1040,27
A1042,21
A1043,21
A1044,27
A1045,15
A1046,1
A1048,19
A1050,19
A1051,9
A1054,8
A1055,10
A1058,32
A1059,7
A1062,4
A1063,0
A1064,15
A1065,25
A1066,2
A1067,13
A1068,16
A107,17
A1070,16
A1071,7
A1072,6
A1073,4
A1074,6
A1075,5
A1076,2
A1077,28
A1080,0
A1082,5
A1084,13
A1110,5
A1111,4
A1112,5
A1113,6
A1128,5
A1129,9
A1130,9
A1131,10
A1134,6
A1135,10
A1136,2
A1137,10
A1138,6
A1139,15
A1140,8
A1143,7
A1144,9
A1145,0
A1146,10
A1147,0
A1148,16
A1149,9
A115,4
A1150,16
A1151,14
A1152,10
A1154,18
A1155,14
A1156,9
A1159,10
A116,10
A1160,9
A1161,9
A1162,10
A1165,9
A1167,0
A1168,0
A1169,0
A1170,28
A1171,23
A1172,0
A1177,9
A1178,10
A1179,12
A1180,8
A1181,9
A1182,9
A1185,10
A1187,8
A1195,10
A1196,0
A1198,0
A1199,3
A120,0
A1200,0
A1204,0
A1205,0
A1207,2
A1208,3
A1212,3
A1213,4
A1214,7
A1215,6
A1216,5
A1217,7
A1218,9
A1219,6
A1220,1
A1221,2
A1222,8
A1223,19
A1224,13
A1225,20
A1227,9
A1228,6
A1229,10
A1230,12
A1232,8
A1253,10
A1255,10
A1258,5
A1259,10
A1261,6
A1262,8
A1264,20
A1266,10
A1267,10
A1271,0
A1273,10
A1274,9
A129,0
A1290,1
A1291,9
A1292,7
A1293,10
A1294,9
A1296,10
A130,40
A1313,10
A1315,10
A1321,12
A1322,0
A1328,9
A133,13
A1335,9
A1336,9
A1337,8
A1338,9
A1364,5
A1368,9
A1369,7
A137,40
A1370,5
A1371,6
A1372,12
A1373,10
A1374,3
A1375,0
A1376,6
A1377,9
A1378,0
A1384,13
A1385,5
A1386,5
A1387,5
A1388,5
A1390,5
A1391,4
A1392,5
A1393,3
A1394,5
A1395,5
A1397,5
A1398,5
A1399,5
A1400,5
A1404,5
A1405,5
A1406,5
A1407,5
A1409,5
A1410,5
A1412,5
A1413,5
A1414,5
A1415,5
A1416,5
A1418,5
A1419,5
A1420,5
A144,11
A153,0
A154,10
A155,2
A158,7
A159,23
A163,0
A164,18
A165,10
A166,6
A167,19
A174,11
A175,32
A176,0
A178,33
A179,12
A180,2
A181,30
A183,29
A184,31
A191,0
A192,3
A193,7
A194,27
A195,33
A197,33
A198,40
A199,0
A200,32
A201,12
A202,0
A209,6
A212,20
A216,0
A217,28
A218,4
A219,32
A222,54
A223,26
A224,9
A226,15
A227,2
A230,3
A231,30
A232,18
A233,9
A234,4
A235,44
A236,1
A237,7
A238,6
A239,8
A240,9
A241,17
A242,0
A243,31
A245,1
A248,2
A250,24
A251,49
A252,64
A254,5
A264,8
A265,6
A266,6
A267,7
A268,9
A269,8
A270,7
A271,3
A272,9
A273,7
A274,20
A276,2
A278,6
A279,50
A280,9
A281,10
A282,39
A283,20
A284,6
A285,7
A286,23
A287,19
A288,37
A289,26
A290,24
A291,5
A292,29
A294,1
A295,14
A296,11
A297,12
A298,14
A299,7
A300,12
A301,6
A302,10
A303,10
A309,9
A311,21
A312,4
A315,28
A316,20
A318,19
